@relation credit_approval-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P66.6-V-weka.filters.unsupervised.attribute.Remove-R5

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 {+,-}

@data
20,1.25,y,p,v,0.125,f,f,0,f,g,140,4,-
25.5,0.375,u,g,v,0.25,t,t,3,f,g,260,15108,+
25.08,1.71,u,g,v,1.665,t,t,1,t,g,395,20,+
28.17,0.585,u,g,v,0.04,f,f,0,f,g,260,1004,-
25.33,0.58,u,g,v,0.29,t,t,7,t,g,96,5124,+
23.08,11.5,u,g,v,3.5,t,t,9,f,g,56,742,+
48.08,6.04,u,g,v,0.04,f,f,0,f,g,0,2690,+
18.83,0,u,g,v,0.665,f,f,0,f,g,160,1,-
22.5,8.5,u,g,v,1.75,t,t,10,f,g,80,990,-
22.5,0.415,u,g,v,0.335,f,f,0,t,s,144,0,-
60.92,5,u,g,v,4,t,t,4,f,g,0,99,+
29.67,0.75,y,p,v,0.04,f,f,0,f,g,240,0,-
22.75,11.5,u,g,v,0.415,f,f,0,f,g,0,0,-
29.67,1.415,u,g,h,0.75,t,t,1,f,g,240,100,+
31,2.085,u,g,v,0.085,f,f,0,f,g,300,0,-
30.42,1.375,u,g,h,0.04,f,t,3,f,g,0,33,-
32.33,3.5,u,g,v,0.5,f,f,0,t,g,232,0,-
28.75,1.5,y,p,v,1.5,t,f,0,t,g,0,225,-
20.67,3,u,g,v,0.165,t,t,3,f,g,100,6,+
18.5,2,u,g,v,1.5,t,t,2,f,g,120,300,+
53.92,9.625,u,g,v,8.665,t,t,5,f,g,0,0,+
56.75,12.25,u,g,v,1.25,t,t,4,t,g,200,0,+
51.33,10,u,g,bb,0,t,t,11,f,g,0,1249,+
16.5,0.125,u,g,v,0.165,f,f,0,f,g,132,0,-
24.08,0.875,u,g,v,0.085,f,t,4,f,g,254,1950,-
37.5,1.75,y,p,bb,0.25,t,f,0,t,g,164,400,-
20.83,8.5,u,g,v,0.165,f,f,0,f,g,0,351,-
16.25,0,y,p,v,0.25,f,f,0,f,g,60,0,-
57.42,8.5,u,g,h,7,t,t,3,f,g,0,0,+
39.5,1.625,u,g,v,1.5,f,f,0,f,g,0,316,-
25,12.5,u,g,v,3,t,f,0,t,s,20,0,+
40.58,3.29,u,g,v,3.5,f,f,0,t,s,400,0,-
24.5,1.75,y,p,v,0.165,f,f,0,f,g,132,0,-
24.08,9,u,g,v,0.25,f,f,0,t,g,0,0,-
36.17,5.5,u,g,bb,5,f,f,0,f,g,210,687,-
38.92,1.75,u,g,v,0.5,f,f,0,t,g,300,2,-
19.17,4,y,p,v,1,f,f,0,t,g,360,1000,-
21.25,2.335,u,g,bb,0.5,t,t,4,f,s,80,0,+
30.58,10.665,u,g,h,0.085,f,t,12,t,g,129,3,-
24.75,13.665,u,g,h,1.5,f,f,0,f,g,280,1,-
25.42,1.125,u,g,v,1.29,t,t,2,f,g,200,0,-
38.25,6,u,g,v,1,t,f,0,t,g,0,0,+
23.08,2.5,u,g,v,1.085,t,t,11,t,g,60,2184,+
31.08,3.085,u,g,v,2.5,f,t,2,t,g,160,41,-
22.67,1.585,y,p,v,3.085,t,t,6,f,g,80,0,+
22.42,5.665,u,g,v,2.585,t,t,7,f,g,129,3257,+
47.67,2.5,u,g,bb,2.5,t,t,12,t,g,410,2510,+
39.17,2.5,y,p,h,10,f,f,0,t,s,200,0,-
32.17,1.46,u,g,v,1.085,t,t,16,f,g,120,2079,+
26.58,2.54,y,p,ff,0,f,f,0,t,g,180,60,-
22.25,9,u,g,v,0.085,f,f,0,f,g,0,0,-
26.67,14.585,u,g,bb,0,f,f,0,t,g,178,0,-
23.58,0.585,y,p,ff,0.125,f,f,0,f,g,120,87,-
34.92,2.5,u,g,v,0,t,f,0,t,g,239,200,+
21.08,5,y,p,ff,0,f,f,0,f,g,0,0,-
54.42,0.5,y,p,h,3.96,t,f,0,f,g,180,314,+
26.75,4.5,y,p,bb,2.5,f,f,0,f,g,200,1210,-
30.58,2.71,y,p,v,0.125,f,f,0,t,s,80,0,-
32.75,1.5,u,g,h,5.5,t,t,3,t,g,0,0,+
34.17,9.17,u,g,v,4.5,t,t,12,t,g,0,221,+
16.17,0.04,u,g,v,0.04,f,f,0,f,g,0,0,+
